Anio,Mes,Precio_leche
2012,Jan,184.49
2012,Feb,190.74
2012,Mar,195.09
2012,Apr,199.93
2012,May,202.96
2012,Jun,201.95
2012,Jul,199.44
2012,Aug,197.3
2012,Sep,191.97
2012,Oct,190.03
2012,Nov,189.21
2012,Dec,189.89
2013,Jan,186.63
2013,Feb,189.52
2013,Mar,197.6
2013,Apr,201.7
2013,May,221.6
2013,Jun,225.47
2013,Jul,224.35
2013,Aug,222.29
2013,Sep,202.58
2013,Oct,201.5
2013,Nov,201.51
2013,Dec,199.43
2014,Jan,213.02
2014,Feb,219.03
2014,Mar,227.45
2014,Apr,232.47
2014,May,244.29
2014,Jun,243.44
2014,Jul,238.39
2014,Aug,237.56
2014,Sep,228.52
2014,Oct,223.89
2014,Nov,219.91
2014,Dec,217.72
2015,Jan,203.88
2015,Feb,203.61
2015,Mar,210.91
2015,Apr,216.61
2015,May,225.38
2015,Jun,226.02
2015,Jul,224.24
2015,Aug,215.76
2015,Sep,198.99
2015,Oct,191.04
2015,Nov,191.02
2015,Dec,186.00
2016,Jan,187.38
2016,Feb,193.25
2016,Mar,202.6
2016,Apr,214.01
2016,May,213.3
2016,Jun,214.38
2016,Jul,214.36
2016,Aug,211.15
2016,Sep,202.48
2016,Oct,199.67
2016,Nov,197.44
2016,Dec,197.41
2017,Jan,210.36
2017,Feb,215.36
2017,Mar,224.64
2017,Apr,229.73
2017,May,240.72
2017,Jun,238.65
2017,Jul,234.95
2017,Aug,234.62
2017,Sep,222.33
2017,Oct,217.45
2017,Nov,221.75
2017,Dec,216.23
2018,Jan,218.68
2018,Feb,222.25
2018,Mar,230.7
2018,Apr,236.85
2018,May,240.99
2018,Jun,241.09
2018,Jul,237.62
2018,Aug,234.95
2018,Sep,223.26
2018,Oct,220.02
2018,Nov,218.7
2018,Dec,216.55
2019,Jan,219.38
2019,Feb,225.76
2019,Mar,240.39
2019,Apr,252.26
2019,May,258.76
2019,Jun,266.96
2019,Jul,266.63
2019,Aug,266.37
2019,Sep,242.23
2019,Oct,243.44
2019,Nov,251.22
2019,Dec,253.86
2020,Jan,254.1
2020,Feb,270.15
2020,Mar,279.88
2020,Apr,316.25
2020,May,318.88
2020,Jun,315.76
2020,Jul,313.3
2020,Aug,309.44
2020,Sep,278.99
2020,Oct,274.32
2020,Nov,288.09
2020,Dec,287.29
2021,Jan,287.6
2021,Feb,295.24
